TPR_pattern,FPR_pattern,FPRn_pattern,SHD_pattern,SHD_cpdag,FPR_skel,FNR_skel,TP_skel,FN_skel,FP_skel,TN_skel,n_nodes,true_n_edges_skel,true_n_non_edges_skel,graph_type,replicate,algorithm,adjmat,parameters,data,time,ntests,id,alpha,test,datatype,timeout
0.386363636363636,0.328651685393258,2.65909090909091,72,NA,2.45454545454545,0.409090909090909,13,9,54,114,20,22,168,unknown,1,tetrad_fci,myadjmats/syntren_dag_2,NA,fixed/filename=syntren_data_std_2.csv/n=500,9.24,NA,fci,0.5,fisher-z-test,continuous,NA
0.365384615384615,0.123563218390805,0.826923076923077,38,42,0.730769230769231,0.538461538461538,12,14,19,145,20,26,164,dag,1,tetrad_fci,myadjmats/syntren_dag_3,NA,fixed/filename=syntren_data_std_3.csv/n=500,6.63,NA,fci,0.001,fisher-z-test,continuous,NA
0.365384615384615,0.140804597701149,0.942307692307692,41,43,0.846153846153846,0.538461538461538,12,14,22,142,20,26,164,dag,1,tetrad_fci,myadjmats/syntren_dag_3,NA,fixed/filename=syntren_data_std_3.csv/n=500,6.22,NA,fci,0.002,fisher-z-test,continuous,NA
0.365384615384615,0.140804597701149,0.942307692307692,41,NA,0.846153846153846,0.538461538461538,12,14,22,142,20,26,164,unknown,1,tetrad_fci,myadjmats/syntren_dag_3,NA,fixed/filename=syntren_data_std_3.csv/n=500,7.18,NA,fci,0.005,fisher-z-test,continuous,NA
0.365384615384615,0.152298850574713,1.01923076923077,43,NA,0.884615384615385,0.5,13,13,23,141,20,26,164,unknown,1,tetrad_fci,myadjmats/syntren_dag_3,NA,fixed/filename=syntren_data_std_3.csv/n=500,6.49,NA,fci,0.01,fisher-z-test,continuous,NA
0.365384615384615,0.163793103448276,1.09615384615385,45,47,0.961538461538462,0.5,13,13,25,139,20,26,164,dag,1,tetrad_fci,myadjmats/syntren_dag_3,NA,fixed/filename=syntren_data_std_3.csv/n=500,6.94,NA,fci,0.02,fisher-z-test,continuous,NA
0.384615384615385,0.189655172413793,1.26923076923077,49,NA,1.11538461538462,0.461538461538462,14,12,29,135,20,26,164,unknown,1,tetrad_fci,myadjmats/syntren_dag_3,NA,fixed/filename=syntren_data_std_3.csv/n=500,6.87,NA,fci,0.05,fisher-z-test,continuous,NA
0.365384615384615,0.204022988505747,1.36538461538462,52,NA,1.19230769230769,0.461538461538462,14,12,31,133,20,26,164,unknown,1,tetrad_fci,myadjmats/syntren_dag_3,NA,fixed/filename=syntren_data_std_3.csv/n=500,7.12,NA,fci,0.1,fisher-z-test,continuous,NA
0.346153846153846,0.21264367816092,1.42307692307692,54,NA,1.23076923076923,0.461538461538462,14,12,32,132,20,26,164,unknown,1,tetrad_fci,myadjmats/syntren_dag_3,NA,fixed/filename=syntren_data_std_3.csv/n=500,7.98,NA,fci,0.2,fisher-z-test,continuous,NA
0.423076923076923,0.235632183908046,1.57692307692308,56,NA,1.38461538461538,0.384615384615385,16,10,36,128,20,26,164,unknown,1,tetrad_fci,myadjmats/syntren_dag_3,NA,fixed/filename=syntren_data_std_3.csv/n=500,7.43,NA,fci,0.3,fisher-z-test,continuous,NA
0.403846153846154,0.272988505747126,1.82692307692308,63,NA,1.57692307692308,0.346153846153846,17,9,41,123,20,26,164,unknown,1,tetrad_fci,myadjmats/syntren_dag_3,NA,fixed/filename=syntren_data_std_3.csv/n=500,8.3,NA,fci,0.5,fisher-z-test,continuous,NA
0.191176470588235,0.11144578313253,0.544117647058823,46,48,0.5,0.764705882352941,8,26,17,139,20,34,156,dag,1,tetrad_fci,myadjmats/syntren_dag_4,NA,fixed/filename=syntren_data_std_4.csv/n=500,7.63,NA,fci,0.001,fisher-z-test,continuous,NA
0.176470588235294,0.120481927710843,0.588235294117647,48,49,0.558823529411765,0.794117647058823,7,27,19,137,20,34,156,dag,1,tetrad_fci,myadjmats/syntren_dag_4,NA,fixed/filename=syntren_data_std_4.csv/n=500,6.18,NA,fci,0.002,fisher-z-test,continuous,NA
0.205882352941176,0.13855421686747,0.676470588235294,50,52,0.647058823529412,0.764705882352941,8,26,22,134,20,34,156,dag,1,tetrad_fci,myadjmats/syntren_dag_4,NA,fixed/filename=syntren_data_std_4.csv/n=500,5.71,NA,fci,0.005,fisher-z-test,continuous,NA
0.220588235294118,0.135542168674699,0.661764705882353,49,NA,0.617647058823529,0.735294117647059,9,25,21,135,20,34,156,unknown,1,tetrad_fci,myadjmats/syntren_dag_4,NA,fixed/filename=syntren_data_std_4.csv/n=500,5.57,NA,fci,0.01,fisher-z-test,continuous,NA
0.220588235294118,0.141566265060241,0.691176470588235,50,NA,0.617647058823529,0.705882352941177,10,24,21,135,20,34,156,unknown,1,tetrad_fci,myadjmats/syntren_dag_4,NA,fixed/filename=syntren_data_std_4.csv/n=500,59.63,NA,fci,0.02,fisher-z-test,continuous,NA
0.235294117647059,0.150602409638554,0.735294117647059,51,NA,0.676470588235294,0.705882352941177,10,24,23,133,20,34,156,unknown,1,tetrad_fci,myadjmats/syntren_dag_4,NA,fixed/filename=syntren_data_std_4.csv/n=500,59.56,NA,fci,0.05,fisher-z-test,continuous,NA
0.279411764705882,0.159638554216867,0.779411764705882,51,NA,0.735294117647059,0.676470588235294,11,23,25,131,20,34,156,unknown,1,tetrad_fci,myadjmats/syntren_dag_4,NA,fixed/filename=syntren_data_std_4.csv/n=500,57.6,NA,fci,0.1,fisher-z-test,continuous,NA
0.279411764705882,0.159638554216867,0.779411764705882,51,NA,0.735294117647059,0.676470588235294,11,23,25,131,20,34,156,unknown,1,tetrad_fci,myadjmats/syntren_dag_4,NA,fixed/filename=syntren_data_std_4.csv/n=500,59.1,NA,fci,0.2,fisher-z-test,continuous,NA
0.264705882352941,0.180722891566265,0.882352941176471,55,55,0.794117647058823,0.647058823529412,12,22,27,129,20,34,156,dag,1,tetrad_fci,myadjmats/syntren_dag_4,NA,fixed/filename=syntren_data_std_4.csv/n=500,8.13,NA,fci,0.3,fisher-z-test,continuous,NA
0.264705882352941,0.204819277108434,1,59,60,0.911764705882353,0.647058823529412,12,22,31,125,20,34,156,dag,1,tetrad_fci,myadjmats/syntren_dag_4,NA,fixed/filename=syntren_data_std_4.csv/n=500,59.95,NA,fci,0.5,fisher-z-test,continuous,NA
0.369565217391304,0.0988700564971751,0.760869565217391,32,31,0.608695652173913,0.478260869565217,12,11,14,153,20,23,167,dag,1,tetrad_fci,myadjmats/syntren_dag_5,NA,fixed/filename=syntren_data_std_5.csv/n=500,58.4,NA,fci,0.001,fisher-z-test,continuous,NA
