TPR_pattern,FPR_pattern,FPRn_pattern,SHD_pattern,SHD_cpdag,FPR_skel,FNR_skel,TP_skel,FN_skel,FP_skel,TN_skel,n_nodes,true_n_edges_skel,true_n_non_edges_skel,graph_type,replicate,algorithm,adjmat,parameters,data,time,ntests,id,alpha,timeout
0.455882352941176,1.15625,0.544117647058823,37,NA,0.205882352941176,0.205882352941176,27,7,7,4,10,34,11,unknown,2,gcastle_anm,gcastle_dag/p=10/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,131.057799248025,NA,anm,0.05,NA
0.595238095238095,0.215083798882682,1.83333333333333,47,NA,1.42857142857143,0,21,0,30,139,20,21,169,unknown,2,gcastle_anm,gcastle_dag/p=20/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,19.7453709375113,NA,anm,0.05,NA
0.738095238095238,0.310055865921788,2.64285714285714,61,NA,2.38095238095238,0,21,0,50,119,20,21,169,unknown,2,gcastle_anm,gcastle_dag/p=20/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,429.963005660102,NA,anm,0.05,NA
0.506578947368421,0.891129032258065,1.45394736842105,148,NA,1.17105263157895,0.210526315789474,60,16,89,25,20,76,114,unknown,2,gcastle_anm,gcastle_dag/p=20/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,20.2209159992635,NA,anm,0.05,NA
0.526315789473684,1.07258064516129,1.75,169,NA,1.39473684210526,0.118421052631579,67,9,106,8,20,76,114,unknown,2,gcastle_anm,gcastle_dag/p=20/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,540.563112569973,NA,anm,0.05,NA
0.676470588235294,0.178065054211843,4.18627450980392,230,NA,3.90196078431373,0.0392156862745098,49,2,199,975,50,51,1174,unknown,2,gcastle_anm,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,97.4919200688601,NA,anm,0.05,NA
0.784313725490196,0.196830692243536,4.62745098039216,247,NA,4.43137254901961,0.0196078431372549,50,1,226,948,50,51,1174,unknown,2,gcastle_anm,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,2703.3307349328,NA,anm,0.05,NA
0.38031914893617,0.620056497175141,3.50265957446809,775,NA,3.17021276595745,0.287234042553192,134,54,596,441,50,188,1037,unknown,2,gcastle_anm,gcastle_dag/p=50/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,133.850694457069,NA,anm,0.05,NA
0.545212765957447,0.718926553672316,4.06117021276596,849,NA,3.76063829787234,0.154255319148936,159,29,707,330,50,188,1037,unknown,2,gcastle_anm,gcastle_dag/p=50/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,3457.29178492725,NA,anm,0.05,NA
0.714285714285714,0.186046511627907,1.14285714285714,10,NA,0.857142857142857,0,7,0,6,32,10,7,38,unknown,3,gcastle_anm,gcastle_dag/p=10/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,5.13484703935683,NA,anm,0.05,NA
