TPR_pattern,FPR_pattern,FPRn_pattern,SHD_pattern,SHD_cpdag,FPR_skel,FNR_skel,TP_skel,FN_skel,FP_skel,TN_skel,n_nodes,true_n_edges_skel,true_n_non_edges_skel,graph_type,replicate,algorithm,adjmat,parameters,data,time,ntests,id,faithfulnessAssumed,score,datatype,samplePrior,structurePrior,penaltyDiscount,timeout
1,0.0338983050847458,0.260869565217391,6,NA,0.260869565217391,0,23,0,6,161,20,23,167,unknown,1,tetrad_fges,gcastle_dag/p=20/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,4.07,NA,fges,True,sem-bic,continuous,1,1,0.01,NA
0.978260869565217,0.0141242937853107,0.108695652173913,3,NA,0.0869565217391304,0,23,0,2,165,20,23,167,unknown,1,tetrad_fges,gcastle_dag/p=20/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,4.12,NA,fges,True,sem-bic,continuous,1,1,0.01,NA
0.63013698630137,0.511811023622047,0.89041095890411,92,NA,0.753424657534247,0.232876712328767,56,17,55,62,20,73,117,unknown,1,tetrad_fges,gcastle_dag/p=20/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,8.11,NA,fges,True,sem-bic,continuous,1,1,0.01,NA
0.671232876712329,0.622047244094488,1.08219178082192,103,NA,0.863013698630137,0.10958904109589,65,8,63,54,20,73,117,unknown,1,tetrad_fges,gcastle_dag/p=20/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,8.74,NA,fges,True,sem-bic,continuous,1,1,0.01,NA
0.824074074074074,0.0380434782608696,0.842592592592593,55,NA,0.703703703703704,0.037037037037037,52,2,38,1133,50,54,1171,unknown,1,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,5.95,NA,fges,True,sem-bic,continuous,1,1,0.01,NA
0.916666666666667,0.036371237458194,0.805555555555556,48,NA,0.722222222222222,0,54,0,39,1132,50,54,1171,unknown,1,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,5.77,NA,fges,True,sem-bic,continuous,1,1,0.01,NA
0.691489361702128,0.283427495291902,1.60106382978723,359,NA,1.48936170212766,0.196808510638298,151,37,280,757,50,188,1037,unknown,1,tetrad_fges,gcastle_dag/p=50/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,36.78,NA,fges,True,sem-bic,continuous,1,1,0.01,NA
0.851063829787234,0.271186440677966,1.53191489361702,316,NA,1.44148936170213,0.0585106382978723,177,11,271,766,50,188,1037,unknown,1,tetrad_fges,gcastle_dag/p=50/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,32,NA,fges,True,sem-bic,continuous,1,1,0.01,NA
0.95,0.1125,0.45,5,NA,0.4,0,10,0,4,31,10,10,35,unknown,1,tetrad_fges,gcastle_dag/p=10/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,3.49,NA,fges,True,sem-bic,continuous,1,1,0.1,NA
1,0,0,0,NA,0,0,10,0,0,35,10,10,35,unknown,1,tetrad_fges,gcastle_dag/p=10/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,3.99,NA,fges,True,sem-bic,continuous,1,1,0.1,NA
0.554054054054054,1.19230769230769,0.418918918918919,32,NA,0.162162162162162,0.189189189189189,30,7,6,2,10,37,8,unknown,1,tetrad_fges,gcastle_dag/p=10/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,3.63,NA,fges,True,sem-bic,continuous,1,1,0.1,NA
0.621621621621622,1.15384615384615,0.405405405405405,29,NA,0.0810810810810811,0.0540540540540541,35,2,3,5,10,37,8,unknown,1,tetrad_fges,gcastle_dag/p=10/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,3.57,NA,fges,True,sem-bic,continuous,1,1,0.1,NA
1,0.0225988700564972,0.173913043478261,4,NA,0.173913043478261,0,23,0,4,163,20,23,167,unknown,1,tetrad_fges,gcastle_dag/p=20/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,4.27,NA,fges,True,sem-bic,continuous,1,1,0.1,NA
1,0.00564971751412429,0.0434782608695652,1,NA,0.0434782608695652,0,23,0,1,166,20,23,167,unknown,1,tetrad_fges,gcastle_dag/p=20/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,4.85,NA,fges,True,sem-bic,continuous,1,1,0.1,NA
0.547945205479452,0.409448818897638,0.712328767123288,85,NA,0.575342465753425,0.315068493150685,50,23,42,75,20,73,117,unknown,1,tetrad_fges,gcastle_dag/p=20/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,6.37,NA,fges,True,sem-bic,continuous,1,1,0.1,NA
0.664383561643836,0.562992125984252,0.979452054794521,96,NA,0.767123287671233,0.123287671232877,64,9,56,61,20,73,117,unknown,1,tetrad_fges,gcastle_dag/p=20/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,9.26,NA,fges,True,sem-bic,continuous,1,1,0.1,NA
0.833333333333333,0.0234113712374582,0.518518518518518,37,NA,0.388888888888889,0.037037037037037,52,2,21,1150,50,54,1171,unknown,1,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,6.94,NA,fges,True,sem-bic,continuous,1,1,0.1,NA
0.972222222222222,0.0137959866220736,0.305555555555556,18,NA,0.277777777777778,0,54,0,15,1156,50,54,1171,unknown,1,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,6.17,NA,fges,True,sem-bic,continuous,1,1,0.1,NA
